Zeile;Gefordert;DokuStatus;Pfade;Vorhanden;CodeStatus
32;AAudio-Stream + Fixture-Facade | `android/app/src/main/cpp/aaudio_input_engine.cpp`, `audio_input_engine.{hpp,cpp}`;✅ DONE / ⛔ Gerät;android/app/src/main/cpp/aaudio_input_engine.cpp;1/1;REAL
33;WASM-DSP-Einstieg + JS-Spiegel | `web/wasm/dsp_core_wasm.cpp`, `web/src/dsp-core.js`, `scripts/build_wasm.sh`;✅ DONE / ⛔ emcc;web/wasm/dsp_core_wasm.cpp web/src/dsp-core.js scripts/build_wasm.sh;3/3;REAL
37;Localhost IPC Suite | `engines/localhost_ipc_suite.py`;✅ DONE / 🧪 SHIM;engines/localhost_ipc_suite.py;1/1;REAL
38;Device Matrix USB/Mic/Bluetooth | `engines/device_matrix.py`;✅ DONE / 🧪 SHIM;engines/device_matrix.py;1/1;REAL
39;Offline Reim-Matrix | `engines/whisper_offline/rhyme_matrix.py`;✅ DONE / 🧪 SHIM;engines/whisper_offline/rhyme_matrix.py;1/1;REAL
40;NeuralLift HTTP Fallback | `engines/neurallift_360/engine_service.py`;✅ DONE / 🧪 SHIM;engines/neurallift_360/engine_service.py;1/1;STUB
45;Android Scaffold Build | `android/gradlew`;🧪 SHIM;-;-;-
46;Desktop Rust Host Scaffold | `desktop/`, `desktop/src-tauri/`;🧪 SHIM;-;-;-
48;CI Workflows | `.github/workflows/`;✅ DONE / 🧪 teilweise;-;-;-
110;Echte Audio-Capture-Blöcke (Mic/USB-UAC2/BLE) statt deterministischer Fixtures in `dsp.process`.;erledigt;-;-;-
111;Ketten-Persistenz über App-Neustarts (Session-Store `dist/sessions/*.cypher.json` + `/api/session/latest`).;erledigt;dist/sessions/*.cypher.json;0/1;-
112;Streaming-Events (SSE `/api/events/stream`) zusätzlich zu Polling für `/api/events`.;erledigt;-;-;-
113;WASM-Build des C++-DSP-Kerns, damit Browser und Native identisch rechnen.;erledigt;-;-;-
114;Playwright-basierte UI-Tests zusätzlich zum DOM-Stub-Harness.;erledigt;-;-;-
115;Ketten-Replay aus `.cypher` (Re-Import und erneute Ausführung).;erledigt;-;-;-
142;LC3plus/LC3-Decoder im Client – die Pipe übernimmt *decodierte* PCM-Blöcke (Android-Codec).;offen;-;-;-
143;Hardware-Messung an echter Soundkarte/BLE-Gerät (Sandbox hat weder `/dev/snd` noch BT-Adapter).;offen;-;-;-
144;Multi-Client-Session-Isolation (ein State pro App-Instanz).;offen;-;-;-
145;Playwright-Browserlauf in dieser Sandbox: `cdn.playwright.dev` gesperrt ⇒ `make test-ui` meldet SKIP, CI-Job `ui-browser` führt die Specs mit Chromium aus.;offen;-;-;-
153;Einen finalen Scope für `v5.0.0` festlegen: Demo, Beta, Hardware Preview oder Production.;offen;-;-;-
154;Akzeptanzkriterien pro Plattform definieren: Android, Linux, macOS, Windows, Web/PWA.;offen;-;-;-
155;Mindesthardware definieren:;offen;-;-;-
156;Android SoC: Snapdragon/Exynos/MediaTek Klassen.;offen;-;-;-
157;GPU/NPU: Adreno/Mali Mindestprofile.;offen;-;-;-
158;RAM Mindestgröße.;offen;-;-;-
159;Audio-Interface Klassen: USB Audio Class 1/2, 48/96 kHz, 24/32 Bit.;offen;-;-;-
160;Bluetooth Profile: BLE, Classic, LC3/LC3plus, A2DP, HFP Einschränkungen.;offen;-;-;-
161;Performance-Budgets verbindlich festlegen:;offen;-;-;-
162;Audio Callback Dauer.;offen;-;-;-
163;DSP CPU Budget.;offen;-;-;-
164;ML Inferenzzeit.;offen;-;-;-
165;UI Framezeit.;offen;-;-;-
166;Speicherlimit pro Plattform.;offen;-;-;-
167;Sicherheitsmodell finalisieren:;offen;-;-;-
168;Zero-Cloud garantiert.;offen;-;-;-
169;Kein externer DNS Lookup.;offen;-;-;-
170;Keine Telemetrie.;offen;-;-;-
171;Lokale Datenhaltung und Löschfunktion.;offen;-;-;-
172;Lizenzmodell für alle Dependencies prüfen.;offen;-;-;-
182;Echte Oboe/AAudio Engine einbauen.;offen;-;-;-
183;Audio Callback mit Float32 Stream implementieren.;offen;-;-;-
184;Input/Output Device Selection via Android `AudioManager` implementieren.;offen;-;-;-
185;USB-C Audio Class Device Discovery implementieren.;offen;-;-;-
186;Hotplug Listener für USB attach/detach implementieren.;offen;-;-;-
187;Sample-Rate Negotiation implementieren:;offen;-;-;-
188;44.1 kHz;offen;-;-;-
189;48 kHz;offen;-;-;-
190;88.2 kHz;offen;-;-;-
191;96 kHz;offen;-;-;-
192;Buffer-Size Negotiation implementieren:;offen;-;-;-
193;64 Frames;offen;-;-;-
194;96 Frames;offen;-;-;-
195;128 Frames;offen;-;-;-
196;256 Frames fallback;offen;-;-;-
197;Real Roundtrip Measurement via Loopback implementieren.;offen;-;-;-
198;Glitch/Underrun Counter implementieren.;offen;-;-;-
199;Dropout Recovery implementieren.;offen;-;-;-
200;Route Lock UI Status anbinden.;offen;-;-;-
201;Android Foreground Service für stabile Audio-Session implementieren.;offen;-;-;-
202;Low-Latency Flags prüfen:;offen;-;-;-
203;`android.hardware.audio.low_latency`;offen;-;-;-
204;`android.hardware.audio.pro`;offen;-;-;-
205;Performance Mode Low Latency.;offen;-;-;-
206;Input gain / AGC / Noise Suppression Steuerung implementieren.;offen;-;-;-
207;Echo Canceller optional abschaltbar machen.;offen;-;-;-
208;External DAC capabilities anzeigen.;offen;-;-;-
209;Real AudioFlinger Remote Submix prüfen.;offen;-;-;-
210;Rechtliche/OS-Grenzen für What-U-Hear Capture dokumentieren.;offen;-;-;-
216;Android `UsbManager` Integration.;offen;-;-;-
217;USB Permission Intent Flow implementieren.;offen;-;-;-
218;Device VID/PID lesen.;offen;-;-;-
219;Product/Manufacturer String anzeigen.;offen;-;-;-
220;Supported sample rates anzeigen.;offen;-;-;-
221;Supported bit depths anzeigen.;offen;-;-;-
222;Channel Count In/Out anzeigen.;offen;-;-;-
223;Phantom Power Detection, falls Interface API verfügbar.;offen;-;-;-
224;DAC Clock Lock Status anzeigen.;offen;-;-;-
225;Device reconnect ohne App-Neustart.;offen;-;-;-
226;Fallback auf internes Mic bei USB Disconnect.;offen;-;-;-
227;Persistente bevorzugte USB-Route speichern.;offen;-;-;-
228;Testmatrix mit mindestens 5 USB Interfaces erstellen.;offen;-;-;-
234;Android Runtime Permission Prompt implementieren.;offen;-;-;-
235;Browser/PWA Mic Permission Flow finalisieren.;offen;-;-;-
236;AudioRecord Input Stream implementieren.;offen;-;-;-
237;Geräte-Mic Auswahl implementieren:;offen;-;-;-
238;Top Mic;offen;-;-;-
239;Bottom Mic;offen;-;-;-
240;Beamforming Mic, falls verfügbar;offen;-;-;-
241;AGC Status anzeigen.;offen;-;-;-
242;Noise Suppression Status anzeigen.;offen;-;-;-
243;Feedback Notch Filter implementieren.;offen;-;-;-
244;Club-Mode Input Protection implementieren.;offen;-;-;-
245;Live Metering für Input Peak/RMS.;offen;-;-;-
246;Mic Calibration Screen ergänzen.;offen;-;-;-
252;Android `BluetoothManager` Integration.;offen;-;-;-
253;Android 12+ `BLUETOOTH_CONNECT` Runtime Flow.;offen;-;-;-
254;Android 12+ `BLUETOOTH_SCAN` Runtime Flow.;offen;-;-;-
255;Legacy BLE Location Flow bis SDK 30 dokumentieren.;offen;-;-;-
256;BLE Device Scan UI.;offen;-;-;-
257;Pairing UI.;offen;-;-;-
258;Connected Device Status.;offen;-;-;-
259;RSSI Anzeige.;offen;-;-;-
260;Codec Anzeige:;offen;-;-;-
261;SBC;offen;-;-;-
262;AAC;offen;-;-;-
263;aptX, falls verfügbar;offen;-;-;-
264;LC3/LC3plus, falls verfügbar;offen;-;-;-
265;Realistische Latenzmessung pro Codec.;offen;-;-;-
266;Jitter Buffer implementieren.;offen;-;-;-
267;Compensation Slider für Bluetooth Delay.;offen;-;-;-
268;Reconnect Strategy.;offen;-;-;-
269;Fallback bei Disconnect.;offen;-;-;-
270;Testmatrix mit DJI Mic, Rode Wireless GO, Hollyland etc.;offen;-;-;-
276;Linux ALSA Backend implementieren.;offen;-;-;-
277;Linux PipeWire Backend implementieren.;offen;-;-;-
278;Linux JACK Backend optional.;offen;-;-;-
279;macOS CoreAudio Backend implementieren.;offen;-;-;-
280;Windows WASAPI Backend implementieren.;offen;-;-;-
281;Windows ASIO Backend implementieren.;offen;-;-;-
282;ASIO SDK Lizenz-/Download-Prozess dokumentieren.;offen;-;-;-
283;Multi-device aggregate device handling.;offen;-;-;-
284;Latency calibration pro OS.;offen;-;-;-
285;Device hotplug Events pro OS.;offen;-;-;-
286;Audio route UI mit Desktop Backend verbinden.;offen;-;-;-
296;Oversampling für true peak limiting ergänzen.;offen;-;-;-
297;Lookahead optional ergänzen.;offen;-;-;-
298;Release/Attack Parameter exposed machen.;offen;-;-;-
299;Soft-knee Kurve messbar dokumentieren.;offen;-;-;-
300;LUFS/RMS Metering ergänzen.;offen;-;-;-
301;SIMD Optimierung prüfen:;offen;-;-;-
302;NEON Android/ARM;offen;-;-;-
303;SSE/AVX Desktop;offen;-;-;-
304;Fuzz Tests mit Random Audio ergänzen.;offen;-;-;-
310;FFTW3 oder KissFFT Pipeline implementieren.;offen;-;-;-
311;Multi-band transient detection:;offen;-;-;-
312;20–90 Hz Kick/Mouth Bass;offen;-;-;-
313;3–8 kHz Snare/Clap;offen;-;-;-
314;8–16 kHz Hi-Hat/Roll;offen;-;-;-
315;Pitch detection für Mouth-Bass.;offen;-;-;-
316;Envelope follower implementieren (aktuell Mean-Abs-/Delta-Energie im Transient-Detektor).;offen;-;-;-
317;PLL/BPM Sync implementieren.;offen;-;-;-
318;Quantisierung 1/16 und 1/32 (`loop.capture` mit `subdivision` 4–64, BPM-Step in `state.transport.loop_step_ms`).;erledigt;-;-;-
319;808 Oscillator als modulare Voice (`dsp_chain.synthesize_808`, C++ `synthesize_808`, Pad-Bank A).;erledigt;-;-;-
320;Decay, Glide, Saturation UI Parameter.;offen;-;-;-
321;Sample-Layer Snare/Clap Engine.;offen;-;-;-
322;Hi-hat noise synth.;offen;-;-;-
323;Preset-System:;offen;-;-;-
324;Boom-Bap (vorhanden: `90s_tape`, `acid_berlin`, `cyber_drill`, `lofi_cypher`);offen;-;-;-
325;Drill;offen;-;-;-
326;Acid Berlin;offen;-;-;-
327;Lo-Fi;offen;-;-;-
328;Audio fixture tests ergänzen.;offen;-;-;-
329;Hardware latency tests ergänzen.;offen;-;-;-
335;Vollständige 4-Engine DSP Chain.;offen;-;-;-
336;XY Pad Mapping pro Engine (`kaoss.xy` pro Modul 0-3, Preset-Mapping in `preset.apply`, UI-XY-Pad-Dispatch).;erledigt;-;-;-
337;Freeze pro Engine innerhalb der Session persistent (`kaoss.freeze`, `held`-Antwort auf frozen XY).;erledigt;-;-;-
338;Freeze über App-Neustart/Export-Re-Import persistent machen.;offen;-;-;-
339;Looper Engine implementieren (`loop.capture` ⇒ BPM-quantisierter Loop + Looper-Freeze, deterministische Wiedergabe getestet).;erledigt;-;-;-
340;Reverse Loop implementieren.;offen;-;-;-
341;Slicer mit 8 Slices implementieren.;offen;-;-;-
