Datei;Kategorie;Zeilen;Status;Marker;MarkerAnzahl;DummyReturns;NotImplemented;Referenzen;TestReferenz;Beleg;Hinweis
scripts/audit_inventory.py;Build/CI;318;PLACEHOLDER;MOCK:2 PLACEHOLDER:11 STUB:12 MOCK:14 DUMMY:19 STUB:37 SHIM:39 MOCK:46;20;4;0;0;nein;"""""""Audit-Inventar: welche Datei ist REAL, MOCK, STUB, TODO, FIXME, PLACEHOLDER oder DEAD?";vom Tooling referenziert (Gradle/CMake/Actions)
engines/neurallift_360/scripts/download_weights.py;Build/CI;44;PLACEHOLDER;PLACEHOLDER:12 PLACEHOLDER:13 PLACEHOLDER:14;3;0;0;0;nein;"""whisper-tiny-multilingual-int8.tflite"": ""offline-placeholder:whisper:5.0.0"",";"offline-placeholder-Werte=3; vom Tooling referenziert (Gradle/CMake/Actions)"
engines/neurallift_360/glb.py;Engine;77;STUB;STUB:5;1;0;0;18;nein;file instead of a filename stub. No cloud, no ML weights.;
engines/neurallift_360/engine_service.py;Engine;50;STUB;STUB:2;1;0;0;0;nein;"""""""Offline NeuralLift-360 daemon stub.";
android/app/src/main/cpp/audio_flinger_hook.cpp;Native;54;STUB;SIMULATOR:11;1;0;0;6;ja;// Portable deterministic HAL simulator: native Android builds replace this shim with;von Test referenziert
web/wasm/dsp_core_wasm.cpp;Web;132;REAL;;0;2;0;2;ja;;von Test referenziert
web/sw.js;Web;4;REAL;;0;0;0;26;ja;;von Test referenziert
web/src/styles.css;Web;129;REAL;;0;0;0;5;ja;;von Test referenziert
web/src/dsp-core.js;Web;642;REAL;;0;0;0;13;ja;;von Test referenziert
web/src/audio-engine.js;Web;269;REAL;;0;0;0;7;ja;;von Test referenziert
web/src/app.js;Web;1233;REAL;SHIM:677 SHIM:678;2;0;0;64;ja;{ id: 'internal_mic', label: 'Internes Mikrofon', status: selected === 'internal_mic' ? 'LOCKED' : ';"Ersatz-Implementierung nur in Teilbereich (siehe Beleg); von Test referenziert"
web/src/action-chain.js;Web;398;REAL;STUB:292;1;0;0;13;ja;* der POST gegen den One-App-Server, im Test ein Stub.;"Ersatz-Implementierung nur in Teilbereich (siehe Beleg); von Test referenziert"
web/package.json;Build/CI;7;REAL;;0;0;0;20;nein;;
web/index.html;Web;222;REAL;SHIM:204;1;0;0;26;ja;"<output id=""transcribe-output"">OFFLINE WHISPER SHIM READY</output>";"Ersatz-Implementierung nur in Teilbereich (siehe Beleg); von Test referenziert"
tests/zero_cloud_socket_guard_test.py;Test;156;REAL;;0;1;0;0;nein;;
tests/web_ui_interaction_chain_test.mjs;Test;680;REAL;STUB:5 STUB:36 STUB:253 STUB:350;4;1;0;1;ja;* `web/src/app.js` wird mit einem minimalen DOM-/WebAudio-Stub gegen einen;"Ersatz-Implementierung nur in Teilbereich (siehe Beleg); von Test referenziert"
tests/web_functional_contract_test.py;Test;245;REAL;;0;1;0;0;nein;;
tests/ui/playwright.config.mjs;Test;39;REAL;;0;0;0;2;nein;;
tests/ui/chain.spec.mjs;Test;160;REAL;STUB:3;1;0;0;0;nein;// Ergänzt den DOM-Stub-Harness (tests/web_ui_interaction_chain_test.mjs): hier;
tests/transient_splitter_test.cpp;Test;33;REAL;;0;0;0;1;nein;;
tests/stress_error_resilience_test.py;Test;168;REAL;;0;1;0;0;nein;;
tests/sse_events_stream_test.py;Test;269;REAL;;0;3;0;0;nein;;
tests/signed_apk_test.py;Test;41;REAL;;0;1;0;0;nein;;
tests/session_persist_replay_test.py;Test;274;REAL;;0;1;0;0;nein;;
tests/release_artifact_guard_test.py;Test;151;REAL;STUB:4 STUB:77 STUB:79 STUB:82 STUB:83 STUB:111 STUB:115 STUB:125;8;1;0;1;nein;Negativ-Fixture ist das vorhandene Offline-Stub-APK in ``releases/`` (hat;Ersatz-Implementierung nur in Teilbereich (siehe Beleg)
tests/permission_manifest_test.py;Test;43;REAL;;0;1;0;0;nein;;
tests/one_app_e2e_test.py;Test;87;REAL;;0;1;0;0;nein;;
tests/offline_ipc_socket_test.py;Test;170;REAL;;0;1;0;0;nein;;
tests/native_audio_bridge_test.py;Test;147;REAL;;0;1;0;3;ja;;von Test referenziert
tests/multi_avatar_sync_test.js;Test;16;REAL;;0;0;0;1;nein;;
tests/live_capture_dsp_test.py;Test;258;REAL;;0;1;0;0;nein;;
tests/functional_execution_audit_test.py;Test;194;REAL;;0;1;0;0;nein;;
tests/full_chain_attributes_test.py;Test;83;REAL;;0;1;0;0;nein;;
tests/dsp_wasm_parity_test.mjs;Test;311;REAL;;0;2;0;7;ja;;von Test referenziert
tests/dsp_parity_harness.cpp;Test;175;REAL;;0;2;0;5;ja;;von Test referenziert
tests/client_hal_orchestrator_test.py;Test;60;REAL;;0;1;0;0;nein;;
tests/brickwall_limiter_test.cpp;Test;34;REAL;;0;0;0;1;nein;;
tests/audio_latency_e2e_test.cpp;Test;28;REAL;SIMULATOR:21;1;0;0;1;nein;"std::cout << ""AudioFlinger direct-pipe simulator: route="" << status.route";Ersatz-Implementierung nur in Teilbereich (siehe Beleg)
